ledger_row_id,source_model,source_model_slug,inferred_provider,provider_mapping_rule,provider_mapping_confidence,canonical_model_guess,model_mapping_rule,model_mapping_confidence,pricing_provider,pricing_model,pricing_subscription_usd_month,pricing_input_usd_per_mtok,pricing_output_usd_per_mtok,pricing_cache_write_usd_per_mtok,pricing_cache_read_usd_per_mtok,pricing_tool_input_usd_per_mtok,pricing_tool_output_usd_per_mtok,benchmark_input_usd_per_mtok,benchmark_output_usd_per_mtok,benchmark_rows_total,benchmark_rows_non_missing,benchmark_rows_missing,benchmark_prior_rows_total,benchmark_prior_rows_non_missing,benchmark_prior_rows_missing,benchmark_distinct_total,benchmark_distinct_non_missing,pricing_vs_benchmark_input_delta,pricing_vs_benchmark_output_delta
11,Gemini 3.1 Pro (Thinking: High),gemini-3-1-pro-thinking-high,google,prefix:gemini,95,gemini-3-1-pro-thinking-high,unmapped,0,,,,,,,,,,,,59,19,40,57,19,38,57,18,,
12,Gemini 3 Flash Thinking,gemini-3-flash-thinking,google,prefix:gemini,95,gemini-3-flash-thinking,unmapped,0,,,,,,,,,,0.5,3,59,26,33,57,24,33,57,24,,
13,Gemini 3 Pro (Thinking: High),gemini-3-pro-thinking-high,google,prefix:gemini,95,gemini-3-pro-thinking-high,unmapped,0,,,,,,,,,,2,12,59,57,2,57,55,2,57,55,,
14,GLM-4.5,glm-4-5,zhipu,prefix:glm,95,glm-4-5,unmapped,0,,,,,,,,,,,,59,0,59,57,0,57,57,0,,
15,GLM-4.7,glm-4-7,zhipu,prefix:glm,95,glm-4-7,unmapped,0,,,,,,,,,,,,59,16,43,57,16,41,57,15,,
16,GLM-4.7 Flash,glm-4-7-flash,zhipu,prefix:glm,95,glm-4-7-flash,unmapped,0,,,,,,,,,,,,59,1,58,57,1,56,57,1,,
17,GLM-5,glm-5,zhipu,prefix:glm,95,glm-5,unmapped,0,,,,,,,,,,0.3,2.55,59,18,41,57,16,41,57,17,,
18,GPT-4.1,gpt-4-1,codex,prefix:gpt,95,gpt-4-1,unmapped,0,,,,,,,,,,,,59,2,57,57,2,55,57,2,,
19,GPT-5.2 Codex (Fast),gpt-5-2-codex-fast,codex,prefix:gpt,95,gpt-5-2-codex-fast,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
20,GPT-5.2 Codex (High),gpt-5-2-codex-high,codex,prefix:gpt,95,gpt-5-2-codex-high,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
21,GPT-5.2 Codex (Low),gpt-5-2-codex-low,codex,prefix:gpt,95,gpt-5-2-codex-low,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
22,GPT-5.2 Codex (Med),gpt-5-2-codex-med,codex,prefix:gpt,95,gpt-5-2-codex-med,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
23,GPT-5.2 Codex (Minimal),gpt-5-2-codex-minimal,codex,prefix:gpt,95,gpt-5-2-codex-minimal,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
24,GPT-5.2 Codex (xhigh),gpt-5-2-codex-xhigh,codex,prefix:gpt,95,gpt-5-2-codex-xhigh,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
25,GPT-5.2 (Fast),gpt-5-2-fast,codex,prefix:gpt,95,gpt-5-2-fast,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
26,GPT-5.2 (High),gpt-5-2-high,codex,prefix:gpt,95,gpt-5-2-high,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,14,45,57,14,43,57,14,,
27,GPT-5.2 (Low),gpt-5-2-low,codex,prefix:gpt,95,gpt-5-2-low,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
28,GPT-5.2 (Med),gpt-5-2-med,codex,prefix:gpt,95,gpt-5-2-med,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
29,GPT-5.2 (Minimal),gpt-5-2-minimal,codex,prefix:gpt,95,gpt-5-2-minimal,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
30,GPT-5.2 (xhigh),gpt-5-2-xhigh,codex,prefix:gpt,95,gpt-5-2-xhigh,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,1.75,14,59,49,10,57,47,10,57,48,-0.5,-4
31,GPT-5.3 Codex Fast (High),gpt-5-3-codex-fast-high,codex,prefix:gpt,95,gpt-5-3-codex-fast-high,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
32,GPT-5.3 Codex Fast (Low),gpt-5-3-codex-fast-low,codex,prefix:gpt,95,gpt-5-3-codex-fast-low,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
33,GPT-5.3 Codex Fast (Med),gpt-5-3-codex-fast-med,codex,prefix:gpt,95,gpt-5-3-codex-fast-med,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
34,GPT-5.3 Codex Fast (xhigh),gpt-5-3-codex-fast-xhigh,codex,prefix:gpt,95,gpt-5-3-codex-fast-xhigh,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
35,GPT-5.3 Codex (High),gpt-5-3-codex-high,codex,prefix:gpt,95,gpt-5-3-codex-high,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
36,GPT-5.3 Codex (Low),gpt-5-3-codex-low,codex,prefix:gpt,95,gpt-5-3-codex-low,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
37,GPT-5.3 Codex (Med),gpt-5-3-codex-med,codex,prefix:gpt,95,gpt-5-3-codex-med,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
38,GPT-5.3 Codex Spark (High),gpt-5-3-codex-spark-high,codex,prefix:gpt,95,gpt-5-3-codex-spark-high,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
39,GPT-5.3 Codex Spark (Low),gpt-5-3-codex-spark-low,codex,prefix:gpt,95,gpt-5-3-codex-spark-low,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
40,GPT-5.3 Codex Spark (Med),gpt-5-3-codex-spark-med,codex,prefix:gpt,95,gpt-5-3-codex-spark-med,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
41,GPT-5.3 Codex Spark (xhigh),gpt-5-3-codex-spark-xhigh,codex,prefix:gpt,95,gpt-5-3-codex-spark-xhigh,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
42,GPT-5.3 Codex (xhigh),gpt-5-3-codex-xhigh,codex,prefix:gpt,95,gpt-5-3-codex-xhigh,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
43,GPT-5 Mini,gpt-5-mini,codex,prefix:gpt,95,gpt-5-mini,heuristic:gpt-5-family,78,codex,gpt-5,0,1.25,10,1.25,0.125,1.25,10,,,59,0,59,57,0,57,57,0,,
44,GPT-OSS 120B,gpt-oss-120b,codex,prefix:gpt,95,gpt-oss-120b,unmapped,0,,,,,,,,,,,,59,0,59,57,0,57,57,0,,
45,Grok 4.1 Fast Reasoning,grok-4-1-fast-reasoning,xai,prefix:grok,95,grok-4-1-fast-reasoning,unmapped,0,,,,,,,,,,0.2,0.5,59,14,45,57,12,45,57,14,,
46,Kimi K2.5,kimi-k2-5,kimi,prefix:kimi,95,kimi-k2-5,unmapped,0,,,,,,,,,,,,59,21,38,57,21,36,57,20,,
47,Kimi K2 Thinking,kimi-k2-thinking,kimi,prefix:kimi,95,kimi-k2-thinking,unmapped,0,,,,,,,,,,,,59,11,48,57,11,46,57,11,,
48,MiniMax M2,minimax-m2,minimax,prefix:minimax,95,minimax-m2,unmapped,0,,,,,,,,,,,,59,6,53,57,6,51,57,6,,
49,MiniMax M2.1,minimax-m2-1,minimax,prefix:minimax,95,minimax-m2-1,unmapped,0,,,,,,,,,,,,59,24,35,57,24,33,57,24,,
50,MiniMax M2.5,minimax-m2-5,minimax,prefix:minimax,95,minimax-m2-5,unmapped,0,,,,,,,,,,0.3,1.1,59,31,28,57,29,28,57,31,,
51,Qwen 3.5 (397B),qwen-3-5-397b,qwen,prefix:qwen,95,qwen-3-5-397b,unmapped,0,,,,,,,,,,0.15,1,59,23,36,57,21,36,57,22,,
52,Qwen 3.5 Plus,qwen-3-5-plus,qwen,prefix:qwen,95,qwen-3-5-plus,unmapped,0,,,,,,,,,,0.4,2.4,59,4,55,57,2,55,57,4,,
53,Qwen 3 Base,qwen-3-base,qwen,prefix:qwen,95,qwen-3-base,unmapped,0,,,,,,,,,,,,59,1,58,57,1,56,57,1,,
54,Qwen 3 Max Thinking,qwen-3-max-thinking,qwen,prefix:qwen,95,qwen-3-max-thinking,unmapped,0,,,,,,,,,,1.2,6,59,21,38,57,19,38,57,20,,
55,Qwen 3-VL,qwen-3-vl,qwen,prefix:qwen,95,qwen-3-vl,unmapped,0,,,,,,,,,,,,59,2,57,57,2,55,57,2,,
56,Step 3.5 Flash,step-3-5-flash,stepfun,prefix:step,95,step-3-5-flash,unmapped,0,,,,,,,,,,,,59,3,56,57,3,54,57,3,,
